asn,filtering,confidence,source
174,peers,1,cloudflare
174,all,0.2,tma
286,peers,1,cloudflare
553,peers,1,cloudflare
786,peers,1,cloudflare
852,peers,1,cloudflare
852,all,0.663551,rov.rpki.net
1103,all,0.957895,rov.rpki.net
1136,peers,1,cloudflare
1140,all,0.962667,rov.rpki.net
1200,all,1,tma
1213,peers,1,cloudflare
1221,peers,1,cloudflare
1239,peers,1,cloudflare
1241,all,1,tma
1299,peers,1,cloudflare
1299,all,0.2,tma
1403,peers,1,cloudflare
1764,peers,1,cloudflare
1798,all,0.117986,rov.rpki.net
2119,peers,1,cloudflare
2497,all,1,cloudflare
2611,peers,1,cloudflare
2852,peers,1,cloudflare
2860,peers,1,cloudflare
2906,peers,1,cloudflare
2914,peers,1,cloudflare
2914,all,0.2,tma
3130,all,0.00434783,rov.rpki.net
3252,all,0.810976,rov.rpki.net
3257,peers,1,cloudflare
3257,all,0.2,tma
3265,peers,1,cloudflare
3265,all,1,tma
3267,all,0.902857,rov.rpki.net
3280,all,0.0735294,rov.rpki.net
3292,peers,1,cloudflare
3303,peers,1,cloudflare
3303,all,1,tma
3303,all,0.0515021,rov.rpki.net
3356,peers,1,cloudflare
3399,peers,1,cloudflare
3462,peers,1,cloudflare
3491,peers,1,cloudflare
4764,peers,1,cloudflare
4826,peers,1,cloudflare
5089,peers,1,cloudflare
5394,all,0.952113,rov.rpki.net
5413,all,0.00429185,rov.rpki.net
5511,peers,1,cloudflare
5539,peers,1,cloudflare
6079,peers,1,cloudflare
6453,peers,1,cloudflare
6830,all,1,cloudflare
6866,peers,1,cloudflare
6871,peers,1,cloudflare
6939,peers,1,cloudflare
6939,all,1,tma
6939,all,0.97644,rov.rpki.net
7018,all,1,cloudflare
7195,peers,1,cloudflare
7575,all,0.127168,rov.rpki.net
7642,peers,1,cloudflare
7713,all,0.963061,rov.rpki.net
7922,peers,1,cloudflare
8075,peers,1,cloudflare
8194,all,0.2,tma
8218,all,0.118026,rov.rpki.net
8283,peers,1,cloudflare
8283,all,1,tma
8283,all,0.935841,rov.rpki.net
8359,all,0.2,tma
8492,all,0.552217,rov.rpki.net
8758,all,0.753754,rov.rpki.net
8764,all,0.2,tma
8767,peers,1,cloudflare
9002,peers,1,cloudflare
9136,peers,1,cloudflare
9304,all,0.836601,rov.rpki.net
9443,peers,1,cloudflare
10026,all,0.85,rov.rpki.net
11537,all,0.2,tma
11708,all,0.283737,rov.rpki.net
12297,all,0.2,tma
12337,peers,1,cloudflare
12576,peers,1,cloudflare
12637,all,0.856209,rov.rpki.net
12779,all,0.971053,rov.rpki.net
12859,all,0.947368,rov.rpki.net
12876,peers,1,cloudflare
13188,peers,1,cloudflare
13237,all,0.89759,rov.rpki.net
13335,peers,1,cloudflare
