         187737016 function calls (186985993 primitive calls) in 30.155 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   30.158   30.158 /home/anon/work/bgpy_pkg/my_profile.py:10(main)
        1    0.000    0.000   26.560   26.560 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:129(_get_data)
        1    0.000    0.000   26.559   26.559 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:169(_get_single_process_results)
        1    0.000    0.000   26.559   26.559 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:172(<listcomp>)
        1    0.009    0.009   26.559   26.559 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:185(_run_chunk)
       60    0.006    0.000   18.980    0.316 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:262(_single_engine_run)
       60   10.372    0.173   10.372    0.173 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:95(run)
       60    0.007    0.000    8.601    0.143 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:306(_collect_engine_run_data)
        2    0.000    0.000    6.364    3.182 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_constructor.py:31(run)
        2    0.000    0.000    4.667    2.334 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_constructor.py:74(_get_as_graph)
        2    0.000    0.000    4.667    2.334 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:60(__init__)
       60    0.000    0.000    4.365    0.073 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:159(track_trial_metrics)
       60    0.001    0.000    4.365    0.073 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:192(_track_trial_metrics)
       60    0.850    0.014    4.347    0.072 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:220(_populate_metrics)
       60    4.204    0.070    4.204    0.070 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/cpp_simulation_framework/cpp_as_graph_analyzer.py:27(analyze)
        2    0.048    0.024    3.653    1.827 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:111(_set_non_yaml_attrs)
        1    0.000    0.000    3.596    3.596 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:36(__init__)
       60    0.000    0.000    3.360    0.056 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:378(setup_engine)
       60    3.247    0.054    3.360    0.056 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:53(setup)
